display  D   display_settings.c:212  debug_display_settings           [   0.04743] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04757] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04769] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04782] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04795] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04824] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04921] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.04948] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.04971] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05136] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05153] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05181] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05205] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05224] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05236] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05258] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05271] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05355] Single Buffer requirement not met.
